更正後	潛在錯別字1	潛在錯別字2	潛在錯別字3	潛在錯別字4	潛在錯別字5	潛在錯別字6	潛在錯別字7	潛在錯別字8
……	繁體中文，	臺灣國語。						
淡江教會	丹江教會	單槍教會	丹良教會	但將會				
祢	禰							
民數記	民宿記	民宿祭	民宿區	民宿際				
舊約	就約							
亞巴琳山	亞巴林山							
全會眾	權會眾	全會中						
以利亞撒和全會眾	以利亞撒罕權會眾							
素祭	戍祭							
牛犢	牛賭							
莊育銘	莊育民							
約書亞	約蘇亞	約束亞						
接起	接洗							
服事	服侍	服飾						
果效	果孝							
只單	隻單							
巴蘭巫師	巴萊姆斯							
咒詛	奏祖							
跟隔壁講	跟吉比講							
囑咐他	祖父他							
囑咐祂	祖父祂							
囑咐約書亞	祖父約蘇亞	祖父約束亞	祖父約書亞					
哥轄	哥霞							
以斯哈	以示他							
流便	劉便	流變						
大坍	大丹							
亞比蘭	雅比蘭							
聖潔	聖傑							
利未	立位							
利未人	立委人							
同工	童工							
信主	信足							
遮蓋之下	障礙之下							
青出於藍	傾出於蘭							
時機不對	實際不對							
迦得	迦德							
清境農場	清淨農場							
司琴上來	事情上來							
爭戰	徵戰	征戰						
哈利路亞	Hallelujah	hallelujah						
讚美祢	讚美你							
姊妹	姐妹							
引玉	淫慾							
子誠	紙城							
牧師	木師							
帳幕之地	帳目之地							
一件美事	一件美式							
耶羅波安	伊羅伯安	伊洛伯安
獻牛	現牛	縣牛					
獻堂	現堂						
吉甲	幾甲						
亞瑪力	亞瑪利						
撒母耳	薩摩爾	薩穆爾					
膏掃羅	高掃羅						
弟兄姊妹	女王姊妹	勇姊妹	帝王姊妹	天王姊妹	聽眾姊妹		
各位弟兄姊妹	各位兄姊妹						
弟兄姊妹平安	姊妹姊妹平安	同姊妹平安	跟我姊妹平安	跟我們姊妹平安			
各位弟兄姊妹平安	各位姊妹平安						
摩押	磨牙						
GoodTV	RikuTV							
勸勉	勸明							
終其他	中期他							
陪睡	賠稅							
會幕	彙木							
懂我意思嗎	同意是嗎							